iter	Passed	Remaining
1041	2917	2681
1042	2927	2685
1043	2928	2682
1044	2930	2678
1045	2933	2675
1046	2935	2672
1047	2937	2668
1048	2939	2665
1049	2941	2661
1050	2943	2657
1051	2944	2653
1052	2948	2651
1053	2950	2647
1054	2951	2644
1055	2953	2640
1056	2955	2636
1057	2956	2632
1058	2958	2629
1059	2962	2627
1060	2964	2623
1061	2966	2619
1062	2968	2616
1063	2969	2612
1064	2971	2609
1065	2975	2606
1066	2978	2604
1067	2980	2600
1068	2982	2597
1069	2985	2594
1070	2987	2591
1071	2989	2588
1072	2993	2586
1073	2996	2583
1074	2998	2580
1075	3003	2579
1076	3005	2576
1077	3008	2573
1078	3010	2569
1079	3019	2572
1080	3021	2569
1081	3024	2565
1082	3030	2565
1083	3032	2562
1084	3034	2559
1085	3036	2555
1086	3038	2552
1087	3041	2549
1088	3045	2547
1089	3047	2543
1090	3048	2540
1091	3050	2536
1092	3055	2535
1093	3057	2531
1094	3059	2528
1095	3062	2525
1096	3065	2523
1097	3067	2520
1098	3070	2516
1099	3071	2513
1100	3073	2509
1101	3077	2507
1102	3079	2504
1103	3080	2500
1104	3082	2496
1105	3084	2493
1106	3086	2489
1107	3090	2488
1108	3093	2485
1109	3095	2482
1110	3097	2478
1111	3099	2474
1112	3102	2472
1113	3105	2469
1114	3107	2466
1115	3108	2462
1116	3110	2459
1117	3115	2458
1118	3119	2455
1119	3121	2452
1120	3123	2449
1121	3126	2446
1122	3128	2443
1123	3130	2440
1124	3132	2436
1125	3134	2433
1126	3142	2434
1127	3145	2431
1128	3147	2428
1129	3151	2426
1130	3154	2423
1131	3156	2420
1132	3158	2416
1133	3159	2412
1134	3162	2409
1135	3164	2406
1136	3179	2413
1137	3181	2409
1138	3183	2406
1139	3185	2403
1140	3189	2401
1141	3192	2398
1142	3194	2395
1143	3198	2392
1144	3201	2390
1145	3204	2387
1146	3206	2384
1147	3208	2381
1148	3209	2377
1149	3213	2375
1150	3215	2371
1151	3219	2369
1152	3221	2366
1153	3224	2363
1154	3228	2362
1155	3231	2359
1156	3234	2356
1157	3241	2356
1158	3243	2353
1159	3245	2350
1160	3251	2349
1161	3253	2346
1162	3256	2343
1163	3258	2339
1164	3259	2336
1165	3262	2333
1166	3264	2330
1167	3271	2330
1168	3276	2328
1169	3277	2325
1170	3280	2322
1171	3282	2319
1172	3284	2315
1173	3290	2315
1174	3292	2311
1175	3294	2308
1176	3296	2304
1177	3301	2303
1178	3304	2301
1179	3306	2297
1180	3308	2294
1181	3310	2290
1182	3313	2288
1183	3315	2285
1184	3317	2281
1185	3318	2277
1186	3320	2274
1187	3322	2270
1188	3325	2268
1189	3327	2265
1190	3330	2261
1191	3332	2258
1192	3334	2255
1193	3337	2253
1194	3339	2249
1195	3342	2247
1196	3344	2243
1197	3346	2240
1198	3348	2237
1199	3351	2234
1200	3354	2231
1201	3355	2227
1202	3357	2224
1203	3361	2222
1204	3363	2219
1205	3366	2216
1206	3369	2214
1207	3372	2211
1208	3374	2207
1209	3377	2205
1210	3384	2205
1211	3386	2201
1212	3388	2198
1213	3390	2194
1214	3391	2191
1215	3395	2189
1216	3397	2185
1217	3399	2182
1218	3401	2179
1219	3403	2175
1220	3404	2172
1221	3411	2172
1222	3413	2168
1223	3415	2165
1224	3419	2163
1225	3422	2160
1226	3424	2157
1227	3426	2154
1228	3429	2151
1229	3433	2149
1230	3435	2146
1231	3437	2142
1232	3439	2139
1233	3444	2138
1234	3447	2135
1235	3449	2132
1236	3451	2128
1237	3453	2125
1238	3457	2123
1239	3460	2120
1240	3462	2117
1241	3465	2114
1242	3469	2113
1243	3472	2110
1244	3474	2107
1245	3477	2104
1246	3484	2103
1247	3485	2100
1248	3488	2097
1249	3496	2098
1250	3498	2094
1251	3500	2091
1252	3504	2089
1253	3506	2086
1254	3508	2082
1255	3511	2079
1256	3512	2076
1257	3514	2072
1258	3517	2070
1259	3523	2069
1260	3525	2066
1261	3527	2062
1262	3531	2060
1263	3534	2058
1264	3536	2055
1265	3538	2051
1266	3540	2048
1267	3543	2045
1268	3546	2042
1269	3548	2039
1270	3550	2036
1271	3552	2033
1272	3553	2029
1273	3559	2028
1274	3561	2025
1275	3563	2021
1276	3564	2018
1277	3566	2014
1278	3567	2011
1279	3569	2007
1280	3572	2005
1281	3576	2002
1282	3577	1999
1283	3579	1996
1284	3584	1994
1285	3588	1992
1286	3589	1988
1287	3591	1985
1288	3593	1981
1289	3594	1978
1290	3598	1976
1291	3601	1973
1292	3603	1970
1293	3605	1966
1294	3607	1963
1295	3614	1963
1296	3616	1960
1297	3618	1956
1298	3620	1953
1299	3621	1950
1300	3625	1947
1301	3627	1944
1302	3630	1942
1303	3632	1938
1304	3634	1935
1305	3636	1932
1306	3638	1929
1307	3641	1926
1308	3645	1924
1309	3646	1920
1310	3654	1920
1311	3660	1919
1312	3665	1917
1313	3670	1916
1314	3672	1913
1315	3674	1909
1316	3676	1906
1317	3680	1904
1318	3685	1902
1319	3686	1899
1320	3690	1896
1321	3693	1894
1322	3695	1891
1323	3697	1887
1324	3699	1884
1325	3700	1881
1326	3704	1878
1327	3705	1875
1328	3707	1871
1329	3710	1869
1330	3712	1865
1331	3713	1862
1332	3717	1860
1333	3719	1857
1334	3722	1854
1335	3724	1850
1336	3725	1847
1337	3727	1844
1338	3731	1841
1339	3733	1838
1340	3735	1835
1341	3737	1832
1342	3739	1829
1343	3742	1826
1344	3746	1824
1345	3748	1821
1346	3754	1820
1347	3758	1817
1348	3760	1814
1349	3762	1811
1350	3765	1808
1351	3766	1805
1352	3770	1802
1353	3772	1799
1354	3774	1796
1355	3776	1793
1356	3777	1790
1357	3779	1786
1358	3782	1783
1359	3784	1780
1360	3787	1778
1361	3789	1775
1362	3792	1772
1363	3793	1768
1364	3795	1765
1365	3797	1762
1366	3800	1759
1367	3803	1757
1368	3811	1756
1369	3814	1754
1370	3816	1750
1371	3817	1747
1372	3823	1745
1373	3826	1743
1374	3828	1740
1375	3832	1737
1376	3834	1734
1377	3840	1733
1378	3844	1731
1379	3847	1728
1380	3851	1726
1381	3853	1723
1382	3855	1720
1383	3857	1716
1384	3858	1713
1385	3861	1710
1386	3864	1708
1387	3866	1704
1388	3868	1701
1389	3869	1698
1390	3871	1695
1391	3873	1691
1392	3880	1690
1393	3883	1688
1394	3885	1684
1395	3886	1681
1396	3890	1679
1397	3895	1677
1398	3900	1675
1399	3904	1673
1400	3906	1670
1401	3908	1667
1402	3910	1664
1403	3915	1662
1404	3918	1659
1405	3920	1656
1406	3922	1653
1407	3925	1650
1408	3929	1648
1409	3931	1645
1410	3933	1641
1411	3935	1638
1412	3938	1636
1413	3941	1633
1414	3943	1630
1415	3945	1627
1416	3947	1624
1417	3951	1621
1418	3952	1618
1419	3954	1615
1420	3956	1612
1421	3958	1608
1422	3959	1605
1423	3966	1604
1424	3968	1601
1425	3971	1598
1426	3974	1595
1427	3976	1592
1428	3978	1589
1429	3980	1586
1430	3982	1583
1431	3984	1580
1432	3989	1578
1433	3991	1575
1434	3994	1572
1435	3996	1569
1436	3999	1566
1437	4001	1563
1438	4003	1560
1439	4005	1557
1440	4007	1554
1441	4011	1552
1442	4013	1549
1443	4016	1546
1444	4018	1543
1445	4020	1540
1446	4026	1538
1447	4028	1535
1448	4029	1532
1449	4031	1529
1450	4033	1526
1451	4035	1522
1452	4039	1520
1453	4041	1517
1454	4043	1514
1455	4045	1511
1456	4048	1508
1457	4050	1505
1458	4052	1502
1459	4058	1501
1460	4063	1499
1461	4065	1496
1462	4068	1493
1463	4069	1490
1464	4071	1486
1465	4080	1486
1466	4082	1483
1467	4083	1480
1468	4087	1477
1469	4089	1474
1470	4091	1471
1471	4094	1468
1472	4100	1466
1473	4104	1464
1474	4109	1462
1475	4113	1460
1476	4122	1459
1477	4130	1458
1478	4132	1455
1479	4134	1452
1480	4139	1450
1481	4141	1447
1482	4146	1445
1483	4151	1443
1484	4153	1440
1485	4155	1437
1486	4159	1434
1487	4163	1432
1488	4168	1430
1489	4171	1427
1490	4173	1424
1491	4181	1423
1492	4187	1421
1493	4189	1418
1494	4191	1415
1495	4194	1413
1496	4200	1411
1497	4206	1409
1498	4208	1406
1499	4213	1404
1500	4219	1402
1501	4221	1399
1502	4223	1396
1503	4229	1394
1504	4238	1394
